cmc,price,color
3,0.69,#d78f42
4,0.13,#ff1a1a
5,0.93,#ffffff
5,0.36,#000000
8,0.09,#d78f42
3,4.85,#d78f42
1,0.42,#341aff
5,3.68,#087500
2,0.8,#d78f42
0,17.89,#d78f42
0,20.46,#d78f42
7,4.38,#d78f42
2,1.27,#d78f42
3,0.63,#d78f42
4,1.34,#d78f42
5,0.22,#d78f42
3,0.99,#d78f42
4,0.23,#d78f42
2,3.31,#ff1a1a
7,0.75,#d78f42
8,0.53,#087500
6,0.57,#d78f42
1,0.35,#000000
2,0.23,#8c8d8b
0,8.52,#d78f42
2,0.26,#087500
3,0.54,#d78f42
4,8.35,#087500
1,0.8,#000000
0,7.68,#d78f42
2,0.28,#ffffff
2,13.48,#d78f42
2,0.26,#ff1a1a
2,2.21,#087500
3,0.49,#d78f42
3,3.33,#d78f42
4,0.96,#d78f42
2,0.49,#d78f42
5,0.16,#ffffff
4,0.59,#341aff
5,0.66,#341aff
6,0.93,#ff1a1a
5,0.26,#d78f42
3,0.28,#000000
0,0.42,#8c8d8b
5,0.25,#341aff
2,4.36,#000000
4,3.03,#d78f42
6,1.44,#d78f42
4,0.19,#087500
6,0.58,#d78f42
5,0.49,#d78f42
8,1.17,#d78f42
2,0.18,#d78f42
4,2.13,#d78f42
2,2.07,#d78f42
5,0.69,#ff1a1a
4,30.89,#ffffff
4,2.22,#000000
4,0.55,#341aff
0,9.02,#d78f42
4,2.84,#d78f42
3,0.31,#d78f42
6,0.16,#d78f42
2,0.96,#ffffff
5,0.29,#8c8d8b
3,0.74,#ffffff
3,0.32,#341aff
7,0.15,#d78f42
4,0.36,#d78f42
