cmc,price,color
6,0.16,#ff1a1a
8,1.96,#ff1a1a
4,0.15,#d78f42
7,3.31,#ffffff
3,0.12,#341aff
2,3.27,#000000
3,0.89,#ff1a1a
3,0.45,#ffffff
1,3.3,#000000
1,0.99,#000000
10,1.71,#087500
6,0.98,#ffffff
8,0.24,#000000
5,2.42,#341aff
8,0.49,#341aff
3,4.27,#087500
3,0.1,#087500
13,42.73,#8c8d8b
3,0.72,#8c8d8b
0,1.46,#8c8d8b
4,6.0,#d78f42
4,27.43,#ffffff
2,3.87,#d78f42
0,2.45,#ff1a1a
3,1.83,#ff1a1a
3,0.53,#ff1a1a
4,0.16,#d78f42
4,0.24,#341aff
4,0.14,#ff1a1a
3,4.04,#341aff
5,1.12,#d78f42
3,21.77,#000000
2,0.31,#8c8d8b
1,2.83,#341aff
7,9.59,#341aff
5,2.33,#ff1a1a
3,0.6,#ff1a1a
4,0.24,#341aff
6,0.34,#000000
3,0.38,#000000
1,0.22,#087500
7,0.16,#ffffff
4,0.09,#ffffff
2,9.39,#ffffff
1,4.67,#ffffff
3,0.11,#8c8d8b
3,7.79,#d78f42
3,0.44,#087500
4,4.9,#087500
1,0.14,#8c8d8b
2,0.25,#000000
3,0.2,#ff1a1a
4,0.32,#341aff
4,7.14,#d78f42
3,3.61,#ffffff
5,0.46,#ffffff
4,9.34,#000000
5,1.2,#d78f42
6,0.22,#087500
5,1.42,#000000
2,0.18,#341aff
