cmc,price,color
2,1.32,#ffffff
3,0.33,#ffffff
7,0.17,#d78f42
2,0.89,#087500
2,2.48,#d78f42
2,1.17,#087500
5,1.14,#ff1a1a
4,0.12,#341aff
3,0.22,#000000
5,0.27,#d78f42
9,2.18,#341aff
4,15.42,#087500
2,0.28,#ff1a1a
3,0.12,#000000
3,0.13,#ff1a1a
2,0.46,#000000
7,0.31,#000000
3,0.57,#087500
2,0.35,#087500
6,3.17,#ff1a1a
7,8.77,#d78f42
6,22.03,#d78f42
6,6.63,#d78f42
5,2.1,#d78f42
6,11.38,#d78f42
6,0.23,#341aff
2,2.27,#ff1a1a
2,1.0,#ff1a1a
2,1.22,#d78f42
7,0.42,#087500
4,0.15,#000000
2,0.28,#ffffff
5,0.34,#d78f42
0,3.15,#8c8d8b
7,0.15,#000000
2,0.18,#ffffff
5,0.39,#341aff
5,0.15,#341aff
2,0.09,#ff1a1a
3,7.37,#d78f42
4,0.13,#341aff
2,0.42,#341aff
1,0.4,#ffffff
4,11.79,#d78f42
5,0.32,#d78f42
1,0.33,#087500
4,0.52,#ffffff
4,0.4,#d78f42
3,0.15,#000000
6,0.15,#d78f42
4,0.27,#341aff
7,0.15,#ffffff
2,0.24,#ffffff
4,2.45,#000000
5,7.85,#d78f42
1,3.62,#ffffff
3,6.79,#087500
3,0.47,#341aff
5,11.99,#000000
2,0.15,#000000
5,0.25,#d78f42
2,0.26,#341aff
4,0.13,#087500
5,3.5,#ffffff
4,0.7,#087500
4,2.06,#ff1a1a
7,0.33,#ff1a1a
1,0.49,#ff1a1a
