cmc,price,color
4,0.38,#d78f42
3,0.46,#ffffff
2,0.92,#8c8d8b
0,4.23,#000000
5,0.25,#ff1a1a
0,6.08,#d78f42
7,0.86,#d78f42
4,0.11,#ffffff
6,1.63,#000000
3,0.2,#000000
6,0.18,#ffffff
6,0.22,#ffffff
3,0.57,#8c8d8b
5,5.23,#8c8d8b
3,0.81,#ff1a1a
4,0.47,#d78f42
6,0.1,#ff1a1a
4,16.58,#8c8d8b
0,7.61,#d78f42
3,1.65,#ffffff
0,5.45,#d78f42
5,1.63,#ff1a1a
2,0.31,#ff1a1a
4,2.52,#d78f42
4,0.57,#d78f42
4,0.89,#000000
2,0.6,#087500
4,6.81,#8c8d8b
6,2.44,#341aff
7,0.12,#d78f42
6,0.31,#000000
5,14.06,#ffffff
3,0.86,#087500
5,0.21,#8c8d8b
0,29.98,#8c8d8b
6,7.42,#d78f42
6,1.71,#087500
2,0.46,#341aff
4,3.45,#341aff
3,0.17,#d78f42
5,1.28,#d78f42
4,2.47,#000000
4,0.35,#341aff
7,1.31,#d78f42
4,0.23,#000000
4,5.89,#d78f42
5,0.85,#ff1a1a
3,0.58,#ff1a1a
3,1.45,#087500
0,4.31,#d78f42
3,0.86,#087500
5,24.18,#d78f42
3,0.38,#341aff
4,0.37,#087500
4,0.37,#ffffff
4,0.33,#341aff
3,0.12,#ff1a1a
5,0.26,#087500
5,0.26,#341aff
4,0.7,#8c8d8b
8,0.29,#000000
4,0.48,#8c8d8b
4,0.15,#ff1a1a
5,1.4,#ffffff
8,0.22,#087500
4,1.0,#ff1a1a
4,1.0,#8c8d8b
0,5.66,#d78f42
5,0.24,#000000
6,0.11,#341aff
