cmc,price,color
2,1.64,#ffffff
5,10.63,#d78f42
3,11.15,#d78f42
2,0.2,#341aff
8,0.46,#ff1a1a
3,0.22,#341aff
4,0.14,#ffffff
2,0.21,#ffffff
5,15.62,#000000
5,0.51,#ffffff
5,1.59,#087500
3,1.18,#341aff
5,3.87,#ff1a1a
5,0.25,#000000
4,0.54,#087500
2,6.63,#ff1a1a
6,0.27,#000000
3,16.77,#ffffff
3,0.36,#8c8d8b
3,0.25,#ff1a1a
5,0.27,#087500
6,2.15,#087500
1,0.31,#341aff
4,13.27,#d78f42
5,6.91,#d78f42
4,0.42,#000000
5,9.12,#d78f42
1,0.36,#ffffff
0,21.82,#8c8d8b
3,0.65,#000000
3,3.64,#d78f42
4,0.16,#087500
3,0.2,#341aff
3,0.61,#ff1a1a
7,0.16,#d78f42
2,3.13,#341aff
7,0.23,#341aff
2,0.41,#087500
4,0.15,#000000
5,0.22,#ffffff
7,0.33,#ff1a1a
0,0.68,#d78f42
0,0.46,#d78f42
2,4.16,#ff1a1a
8,1.73,#000000
