cmc,price,color
3,0.31,#341aff
5,0.23,#d78f42
5,8.14,#d78f42
0,1.32,#8c8d8b
4,0.15,#8c8d8b
2,5.7,#8c8d8b
6,3.04,#d78f42
4,0.23,#ffffff
3,0.97,#ff1a1a
7,3.33,#ff1a1a
3,0.16,#8c8d8b
5,1.08,#000000
4,0.34,#341aff
2,0.33,#000000
2,0.79,#087500
2,3.38,#ff1a1a
2,0.8,#000000
4,26.05,#d78f42
6,2.43,#ff1a1a
6,0.11,#ff1a1a
12,5.72,#087500
4,1.28,#8c8d8b
3,3.92,#d78f42
4,7.3,#d78f42
3,0.19,#341aff
3,0.73,#087500
3,6.93,#d78f42
4,0.47,#341aff
3,7.11,#d78f42
4,1.85,#000000
7,1.58,#341aff
2,0.24,#ffffff
4,3.0,#087500
2,0.31,#d78f42
8,11.52,#087500
3,1.07,#d78f42
3,0.49,#d78f42
3,1.75,#ffffff
4,1.89,#ff1a1a
3,0.83,#341aff
4,0.44,#341aff
2,0.61,#d78f42
1,0.29,#8c8d8b
7,2.24,#ff1a1a
3,0.79,#ffffff
2,0.13,#ffffff
4,5.2,#d78f42
5,0.88,#ffffff
5,7.2,#087500
6,0.44,#000000
6,33.29,#8c8d8b
2,0.5,#ff1a1a
2,8.11,#341aff
3,0.22,#000000
5,5.95,#ffffff
4,32.19,#000000
3,6.15,#000000
4,0.23,#000000
2,1.27,#341aff
3,13.46,#087500
4,5.07,#087500
9,31.37,#d78f42
8,0.59,#ffffff
