cmc,price,color
4,3.76,#d78f42
7,0.93,#ff1a1a
3,3.34,#341aff
2,0.31,#000000
2,0.33,#ffffff
6,0.68,#ffffff
5,0.41,#ffffff
2,0.21,#000000
7,0.39,#000000
6,0.24,#ff1a1a
3,2.67,#ff1a1a
4,0.33,#ff1a1a
6,9.32,#087500
4,0.49,#8c8d8b
2,0.21,#341aff
1,0.35,#000000
3,0.39,#087500
2,0.2,#087500
5,2.65,#000000
2,6.13,#8c8d8b
0,4.96,#d78f42
4,0.2,#341aff
0,6.74,#d78f42
4,0.12,#087500
2,0.29,#341aff
2,0.44,#000000
3,0.3,#8c8d8b
7,1.04,#341aff
8,13.5,#d78f42
0,5.56,#d78f42
7,0.37,#ffffff
5,0.13,#341aff
3,26.48,#087500
4,3.83,#341aff
4,4.01,#d78f42
5,4.39,#d78f42
3,1.18,#341aff
3,1.81,#ffffff
3,0.46,#341aff
1,2.86,#ffffff
3,0.69,#ffffff
1,0.16,#087500
7,0.45,#341aff
1,0.34,#ffffff
4,10.12,#8c8d8b
3,3.73,#ff1a1a
5,0.86,#d78f42
3,0.09,#ff1a1a
5,6.06,#000000
4,2.21,#087500
6,1.73,#341aff
0,3.7,#d78f42
4,0.46,#ff1a1a
3,0.27,#000000
4,2.58,#000000
2,0.27,#ffffff
2,5.17,#341aff
4,3.4,#ffffff
2,0.16,#8c8d8b
1,1.02,#087500
2,0.3,#8c8d8b
5,3.36,#341aff
7,8.39,#ff1a1a
6,2.97,#ff1a1a
5,0.32,#d78f42
0,4.63,#d78f42
3,0.19,#000000
2,3.03,#8c8d8b
3,0.14,#ff1a1a
7,4.34,#d78f42
2,0.25,#ffffff
2,9.92,#8c8d8b
4,0.31,#ff1a1a
5,12.46,#8c8d8b
7,0.39,#087500
5,5.6,#d78f42
6,1.83,#d78f42
4,1.81,#000000
8,5.97,#ffffff
4,0.09,#087500
