cmc,price,color
2,0.16,#ffffff
3,0.17,#8c8d8b
6,0.12,#341aff
7,0.39,#087500
5,0.19,#087500
4,0.23,#d78f42
6,1.23,#d78f42
2,7.71,#341aff
5,0.41,#341aff
1,0.24,#000000
5,0.27,#ffffff
5,0.2,#ffffff
5,0.25,#d78f42
3,5.57,#341aff
7,2.91,#ffffff
6,0.13,#ff1a1a
2,0.24,#000000
6,0.53,#8c8d8b
1,0.21,#087500
2,0.14,#087500
2,0.65,#8c8d8b
7,1.0,#000000
2,13.03,#087500
1,1.83,#8c8d8b
3,1.47,#ff1a1a
3,2.45,#8c8d8b
3,0.26,#ff1a1a
2,0.24,#ff1a1a
3,1.16,#087500
5,0.44,#ff1a1a
4,9.79,#341aff
1,0.15,#341aff
2,9.95,#8c8d8b
4,0.12,#000000
2,0.58,#d78f42
5,5.44,#8c8d8b
3,0.25,#ffffff
3,0.3,#ff1a1a
6,6.87,#8c8d8b
4,0.1,#ff1a1a
4,0.13,#341aff
1,0.16,#ff1a1a
3,0.94,#087500
6,8.66,#087500
3,1.29,#8c8d8b
5,0.19,#000000
3,0.16,#ffffff
0,0.96,#8c8d8b
2,1.92,#ffffff
4,0.27,#ffffff
5,0.13,#d78f42
4,0.92,#d78f42
0,12.26,#8c8d8b
3,1.95,#341aff
4,0.25,#000000
3,5.08,#000000
