name,cmc,price,color
Aboroth,6,5.58,#087500
Abundance,4,0.27,#087500
Acidic Slime,5,7.53,#087500
Aetherwind Basker,7,0.4,#087500
Afiya Grove,2,3.47,#087500
Ageless Entity,5,0.54,#087500
Aggressive Mammoth,6,0.48,#087500
Aid from the Cowl,5,0.2,#087500
Allosaurus Rider,7,1.82,#087500
All Suns' Dawn,5,0.43,#087500
Alluring Scent,3,0.69,#087500
Anavolver,4,0.28,#d78f42
Ancient Greenwarden,6,12.25,#087500
Ancient Ooze,7,0.59,#087500
Ancient Silverback,6,0.21,#087500
An-Havva Constable,3,0.3,#087500
Animal Magnetism,5,0.24,#087500
Animist's Awakening,1,0.6,#087500
Anthousa- Setessan Hero,5,0.11,#087500
Ant Queen,5,0.66,#087500
Apex Altisaur,9,3.09,#087500
Apex Devastator,10,11.02,#087500
Arachnogenesis,3,25.11,#087500
Arachnus Spinner,6,0.23,#087500
Arashi- the Sky Asunder,5,0.74,#087500
Arasta of the Endless Web,4,0.46,#087500
Arbor Colossus,5,0.19,#087500
Architect of the Untamed,3,0.15,#087500
Argothian Enchantress,2,22.89,#087500
Argothian Wurm,4,7.57,#087500
Asceticism,5,15.77,#087500
Ashaya- Soul of the Wild,5,6.76,#087500
As Luck Would Have It,1,0.28,#087500
Aspect of Wolf,2,0.41,#087500
Assault Formation,2,0.83,#087500
Avatar of Might,8,0.92,#087500
Avatar of the Resolute,2,1.23,#087500
Avenger of Zendikar,7,6.19,#087500
Awakening,4,7.75,#087500
Awakening of Vitu-Ghazi,5,0.22,#087500
Awakening Zone,3,2.12,#087500
Ayula- Queen Among Bears,2,0.26,#087500
Ayula's Influence,3,0.22,#087500
Ayumi- the Last Visitor,5,0.75,#087500
Azusa- Lost but Seeking,3,7.21,#087500
Bane of Progress,6,5.67,#087500
Baru- Fist of Krosa,5,1.12,#087500
Battle Mammoth,5,1.44,#087500
Beacon of Creation,4,3.69,#087500
Bearscape,3,3.59,#087500
Bear Umbra,4,9.84,#087500
Beastcaller Savant,2,0.78,#087500
Beastmaster Ascension,3,6.88,#087500
Beast Whisperer,4,1.92,#087500
Benefactor's Draught,2,16.0,#087500
Berserk,1,25.24,#087500
Bifurcate,4,0.35,#087500
Bind,2,1.35,#087500
B-I-N-G-O,2,0.16,#087500
Biogenic Ooze,5,3.73,#087500
Bioplasm,5,0.22,#087500
Biorhythm,8,0.83,#087500
Biowaste Blob,4,0.21,#087500
Birds of Paradise,1,8.96,#087500
Birthing Pod,4,17.32,#087500
Blessing of Frost,4,0.12,#087500
Blizzard,2,5.04,#087500
Bloodspore Thrinax,4,0.58,#087500
Bloom Tender,2,35.19,#087500
Blurred Mongoose,2,0.29,#087500
Boon Satyr,3,0.17,#087500
Borrowing the East Wind,2,41.99,#087500
Boundless Realms,7,3.84,#087500
Bounteous Kirin,7,0.52,#087500
Bounty of Might,6,0.12,#087500
Bounty of Skemfar,3,0.17,#087500
Bow of Nylea,3,6.25,#087500
Bramble Sovereign,4,18.1,#087500
Bramblewood Paragon,2,24.99,#087500
Branching Evolution,3,18.96,#087500
Bringer of the Green Dawn,9,1.59,#d78f42
Bristling Hydra,4,0.19,#087500
Brooding Saurian,4,0.2,#087500
Brood Sliver,5,10.84,#087500
Brushwagg,3,2.58,#087500
Budoka Gardener // Dokai- Weaver of Life,2,2.66,#087500
Bull Hippo,4,0.82,#087500
Burgeoning,1,22.49,#087500
Caller of the Claw,3,0.81,#087500
Caller of the Hunt,3,0.64,#087500
Caller of the Untamed,4,0.16,#087500
Call of the Herd,3,0.14,#087500
Call of the Wild,4,0.38,#087500
